Name,Phone,Address,URL,Accreditation Status,Principal Contact
"Progressive Medical Billing","+12107331802","6655 First Park Ten Blvd Ste 216","https://www.bbb.org/us/tx/san-antonio/profile/billing-services/progressive-medical-billing-0825-90020942","true","Ms. Leticia A. Cantu"
"Momentum Billing","+18668756527","13400 Sabre Springs Pkwy #150","https://www.bbb.org/us/ca/san-diego/profile/medical-billing/momentum-billing-1126-172017754","false",""
"Centerline Medical Billing","+18008285133","","https://www.bbb.org/us/ca/aliso-viejo/profile/medical-billing/centerline-medical-billing-1126-1000116438","true","Mr. Patrick Mahoney"
"Compass Billing","+13037131300","5350 Dtc Pkwy","https://www.bbb.org/us/co/greenwood-village/profile/medical-billing/compass-billing-1296-90146804","false","Ms. Ellen E. Stewart"
"Matrix Medical Billing","+18888343477","2135 E. University Drive #120","https://www.bbb.org/us/az/mesa/profile/billing-services/matrix-medical-billing-1126-97026964","false","Mr. Christian Burris"
"Medical Billing Partners","+14024135394","","https://www.bbb.org/us/ne/lincoln/profile/medical-billing/medical-billing-partners-0714-1000061239","false","Taylor Santos"
"Springs Medical Billing","+17194008222","Po Box 64258","https://www.bbb.org/us/co/colorado-springs/profile/medical-billing/springs-medical-billing-0785-1000007536/addressId/54148","false","Mrs. Christina Boyce"
"Veracity Medical Billing","+13175203555","220 South Elm Street","https://www.bbb.org/us/in/zionsville/profile/medical-billing/veracity-medical-billing-0382-90050513","false","Sharon Gall"
"Midwest Medical Billing","+16145771077","6400 E Main St Ste 201","https://www.bbb.org/us/oh/reynoldsburg/profile/medical-billing/midwest-medical-billing-0302-11006119","false","Ms. Kelly Schaffer Rahe"
"Specialized Medical Billing","+16144618154","330 E Wilson Bridge Rd Ste 100","https://www.bbb.org/us/oh/worthington/profile/medical-billing/specialized-medical-billing-0302-70095304","true","Mrs. Adrianne H. Nittala"
"Proclaims Medical Billing","+13862745712","785 W Granada Blvd Ste 5","https://www.bbb.org/us/fl/ormond-beach/profile/medical-billing/proclaims-medical-billing-0733-90136184","false","Michelle Cavanaugh"
"Blitz Medical Billing","+18553298220","1701 Legacy Dr Ste 1200","https://www.bbb.org/us/tx/frisco/profile/medical-billing/blitz-medical-billing-0875-91061873","true","Ms. Lilian Garcia"
"Medical Billing Center","+18646791600","401 Brookfield Pkwy Ste 500A","https://www.bbb.org/us/sc/greenville/profile/medical-billing/medical-billing-center-0673-90039737","false","Ms. Nicole Kluckhohn"
"PC Medical Billing LLC","+13605398487","","https://www.bbb.org/us/wa/olympia/profile/medical-billing/pc-medical-billing-llc-1296-1000097169","true","Mr. Patrick O'Neil"
"Specialty Billing Services","+19147717335","2649 Strang Blvd Ste 303","https://www.bbb.org/us/ny/yorktown-heights/profile/medical-billing/specialty-billing-services-0121-106473","false","Ms. Jeannine Raciti"
"Orange County Medical Billing","+17148955614","8311 Westminster Blvd Ste 340D","https://www.bbb.org/us/ca/westminster/profile/medical-billing/orange-county-medical-billing-1126-13172913","false","Ms. Tracy Ann Jonas"
"Diamond Medical Billing Services","+12537777762","13301 SE 79th Pl # A101","https://www.bbb.org/us/wa/renton/profile/medical-billing/diamond-medical-billing-services-1296-22719855","false","Sunni Hearin"
"LPL Medical Billing Service","+13018318957","3606 John Simmons Ct","https://www.bbb.org/us/md/frederick/profile/medical-billing/lpl-medical-billing-service-0011-90205853","false","Lachee Lewis"
"Doctors Billing Pros","+16192292124","PO Box 152865","https://www.bbb.org/us/ca/san-diego/profile/medical-billing/doctors-billing-pros-1126-172001777","false","Mr. Lamont Wolfe"
"Prescott Medical Billing Services","+19285335060","Prescott","https://www.bbb.org/us/az/prescott/profile/medical-billing/prescott-medical-billing-services-1126-1000046455","false","Mr. Kenneth Ficek"
"DDR Medical Billing & Consultants","+16028887063","2735 W Sweetwater Ave","https://www.bbb.org/us/az/phoenix/profile/medical-billing/ddr-medical-billing-consultants-1126-1000047383","false","Ms. Donna Suchil"
"Valcare Medical Billing Services","+15099722357","208 1/2 S 40th Ave","https://www.bbb.org/us/wa/yakima/profile/medical-billing/valcare-medical-billing-services-1296-1000009330","false","Ms. Carolyn Pierson"
"Quality Medical Billing Service","+15032531653","1404 SE 151st Ave","https://www.bbb.org/us/or/portland/profile/billing-services/quality-medical-billing-service-1296-75004277","false","Ms. Kay Holmes"
"Billing Partners Solution","+16026750161","5224 N 40th Dr","https://www.bbb.org/us/az/phoenix/profile/medical-billing/billing-partners-solution-1126-1000047551","true","Ms. Ruth M Gonzalez"
"Easy Billing Services","+16192462695","1641 Burton St","https://www.bbb.org/us/ca/san-diego/profile/billing-services/easy-billing-services-1126-1000113485","true","Ms. Danielle Gonzales"
"Clinical Billing Solutions","+18885502112","","https://www.bbb.org/us/ca/orange/profile/medical-billing/clinical-billing-solutions-1126-1000126773","false","Mr. Jack Van Berkel"
"Hernandez Healthcare Billing","+19287794404","","https://www.bbb.org/us/az/bellemont/profile/billing-services/hernandez-healthcare-billing-1126-1000040693","false","Ms. Dorothy Hernandez"
"Billing Business Specialists","+15203169405","PO Box 3121","https://www.bbb.org/us/az/arizona-city/profile/medical-billing/billing-business-specialists-1126-1000047834","false","Mrs. Jeri E. Theiler"
"Platinum Medical Billing & Consulting","+16024330305","1837 S Mesa Dr Ste B202","https://www.bbb.org/us/az/mesa/profile/medical-billing/platinum-medical-billing-consulting-1126-1000085023","false","Ms. Anna M Whitt"
"Orange Sterling Billing","+14808435143","10000 N 31st Ave Ste D214","https://www.bbb.org/us/az/phoenix/profile/billing-services/orange-sterling-billing-1126-1000110820","true","Mrs. Lauren Rundall"
"Apridas Medical Management & Billing","+14057459600","2035 E State Hwy 152 Suite 103","https://www.bbb.org/us/ok/mustang/profile/medical-case-management/apridas-medical-management-billing-0995-90024256","false","Ms. Becky Stubblefield"
"Doctors & MDs Billing","+18052104207","2667 Fallon Cir","https://www.bbb.org/us/ca/simi-valley/profile/medical-billing/doctors-mds-billing-1236-92013897","false","Ms. Lili Vizcardo"
"Medical Claims & Billing Specialist","+18316499200","203C Calle Del Oaks","https://www.bbb.org/us/ca/del-rey-oaks/profile/medical-billing/medical-claims-billing-specialist-1216-231036","true","Ms. Diana Rosa"
"Young's Billing & Consulting","+17164082525","","https://www.bbb.org/us/ny/williamsville/profile/billing-services/youngs-billing-consulting-0041-235964412","true","Mr. Daniel J. Young"
"KSN Billing & Collections","+18554690959","","https://www.bbb.org/us/nj/newark/profile/medical-billing/ksn-billing-collections-0221-90203827","false","Robin Bailey"
"Certified Healthcare Billing","+16267919004","8055 Foothill Blvd","https://www.bbb.org/us/ca/sunland/profile/medical-billing/certified-healthcare-billing-1216-640510","true","Mr. George Oganyan"